zipcode,neighborhood,2011,2012,2013,2014,2015,2016,2017
98103.0,Wallingford,1328.4647302904564,1283.0823947836398,1416.5198695909899,1573.2952104327208,1580.130409010077,1740.0,1795.0
98115.0,Wedgewood,1202.778454047474,1160.5914485696896,1292.9868381010347,1424.9334297017651,1474.75,1700.0,1725.5
98133.0,North Park,875.0030966767371,823.0113670694864,875.8366314199396,980.0284743202417,1010.6608761329304,1146.110271903323,1379.5
98122.0,Capitol Hill/Madrona,1192.5,1405.0,1450.0,1729.25,1800.0,1826.0,1937.5
98125.0,Lake City,765.9306273632225,733.0444092908405,768.8468923142217,854.7753976001234,1014.168531522494,1189.1019947526815,1374.75
98109.0,Westlake,1337.0,1450.0,1641.0,1715.5,1834.75,1950.25,2100.0
98105.0,University District,985.426497277677,1067.5453720508167,1211.2534029038113,1357.6987295825772,1508.25,1500.0,1589.5
98118.0,Rainier Valley,994.9065420560747,975.1401869158879,1138.7616822429907,1260.6542056074766,1387.927570093458,1661.3621495327102,1762.5
98102.0,Captiol Hill,1448.5233160621763,1495.0,1462.5,1506.25,1740.0,1718.5,1783.75
98107.0,Ballard,1853.9955346760314,1798.7825015116985,1785.0,1780.0,1731.25,1728.75,1871.5
98117.0,Crown Hill,934.0480771026729,984.6630493658828,1045.5252246026262,1166.8148452529933,1306.54943125572,1474.324090849661,1662.5
98121.0,BellTown,1515.0,1528.75,1688.75,1749.25,1927.5,2036.5,2583.25
98116.0,West Seattle/Alki,1130.753493862134,1132.3030925401322,1138.3881019830028,1214.9231586402266,1412.9694287063267,1601.0,1835.25
98112.0,Montlake,1172.914201183432,1071.3184171597634,1115.1201923076924,1227.970599112426,1238.1119267751478,1433.6990199704142,1645.0
98101.0,Downtown,1817.176761433869,1781.7196538936957,1826.0410383189121,1950.1409147095178,2038.7836835599508,2241.0,2542.5
98126.0,West Seattle,923.9069527193222,899.5047198688166,927.6086362394096,1080.0952446023502,1235.8634872916098,1385.7247881934954,1601.0
98104.0,Pioneer Square,1141.8371607515658,1048.0125260960333,1149.3277661795407,1421.2943632567851,1638.329853862213,1840.0,1977.0
98106.0,Highland Park,642.384455349473,621.303050896187,639.3465237033662,701.9463273201105,900.3324696643516,1098.25831933494,1291.2130081300813
98108.0,Georgetown/Beacon Hill,824.5614035087718,824.5614035087718,984.8927875243664,1179.5808966861598,1314.144736842105,1609.039961013645,1903.935185185185
98119.0,Queen Anne,1491.698113207547,1463.8679245283017,1496.095283018868,1635.2462264150943,1792.2641509433963,1981.5094339622642,2360.0
98136.0,Fauntleroy,1207.7522089985675,1160.0777796959921,1134.5322313280292,1198.098137064796,1334.8045630899298,1546.9557734863886,1785.4073773814348
98144.0,Mt. Baker,890.7463398702314,939.3509917489952,1033.8148444589774,1246.5364589576675,1464.2405586907914,1489.6614017236177,1750.479251240415
98177.0,Richmond Beach,895.5753424511013,937.2791727755409,965.4660934249318,984.5883566382117,1142.8194793745652,1317.0979285260833,1456.0146044992744
98199.0,Magnolia,1276.414298354934,1144.448868892687,1099.8249756627142,1273.6600720473377,1455.974929231211,1623.8741930563592,1704.4319206492335
